 Código,Programa,Instituição de Ensino,Sigla da IES,Modalidade,Área de Avaliação,Nota da Avaliação
30001013108P0,CIÊNCIA DA INFORMAÇÃO,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Aca.,COMUNICAÇÃO E INFORMAÇÃO E MUSEOLOGIA,3
20001010048P0,COMUNICAÇÃO ,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Prof.,COMUNICAÇÃO E INFORMAÇÃO E MUSEOLOGIA,3
50001019175P6,COMUNICAÇÃO,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Aca.,COMUNICAÇÃO E INFORMAÇÃO E MUSEOLOGIA,3
22042008001P7,Patrimônio e Sociedade,UNIVERSIDADE FEDERAL DO DELTA DO PARNAÍBA,UFDPAR,Prof.,COMUNICAÇÃO E INFORMAÇÃO E MUSEOLOGIA,4
15001016036P7,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,SERVIÇO SOCIAL                                    ,5
20001010003P6,POLÍTICAS PÚBLICAS,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Aca.,SERVIÇO SOCIAL                                    ,6
21001014005P1,POLÍTICAS PÚBLICAS,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Aca.,SERVIÇO SOCIAL                                    ,5
23001011027P0,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Aca.,SERVIÇO SOCIAL                                    ,4
24001015019P0,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DA PARAÍBA - CAMPUS JOÃO PESSOA,UFPB-JOÃO PESSOA,Aca.,SERVIÇO SOCIAL                                    ,4
25001019031P3,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,SERVIÇO SOCIAL                                    ,6
26001012016P7,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Aca.,SERVIÇO SOCIAL                                    ,5
30001013020P6,POLÍTICA SOCIAL,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Aca.,SERVIÇO SOCIAL                                    ,6
31001017066P9,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,SERVIÇO SOCIAL                                    ,5
31003010049P3,POLÍTICA SOCIAL,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Aca.,SERVIÇO SOCIAL                                    ,5
31004016028P9,SERVIÇO SOCIAL,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Aca.,SERVIÇO SOCIAL                                    ,6
31005012021P0,SERVIÇO SOCIAL,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Aca.,SERVIÇO SOCIAL                                    ,6
32002017019P0,Política Social,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Aca.,SERVIÇO SOCIAL                                    ,5
33004072067P2,SERVIÇO SOCIAL,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS FRANCA,UNESP-FRANCA,Aca.,SERVIÇO SOCIAL                                    ,5
33005010020P3,SERVIÇO SOCIAL,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,Aca.,SERVIÇO SOCIAL                                    ,7
40002012020P0,SERVIÇO SOCIAL E POLÍTICA SOCIAL,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Aca.,SERVIÇO SOCIAL                                    ,4
41001010047P6,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Aca.,SERVIÇO SOCIAL                                    ,5
42005019008P5,SERVIÇO SOCIAL,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Aca.,SERVIÇO SOCIAL                                    ,7
53001010035P1,POLÍTICA SOCIAL,UNIVERSIDADE DE BRASÍLIA,UNB,Aca.,SERVIÇO SOCIAL                                    ,6
32005016013P0,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Aca.,SERVIÇO SOCIAL                                    ,5
52002012011P5,SERVIÇO SOCIAL,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,Aca.,SERVIÇO SOCIAL                                    ,3
42006015005P2,Política Social e Direitos Humanos,UNIVERSIDADE CATÓLICA DE PELOTAS,UCPEL,Aca.,SERVIÇO SOCIAL                                    ,5
12001015027P0,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Aca.,SERVIÇO SOCIAL                                    ,4
50001019023P1,POLÍTICA SOCIAL,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Aca.,SERVIÇO SOCIAL                                    ,4
30013011001P6,POLÍTICAS PÚBLICAS E DESENVOLVIMENTO LOCAL,ESCOLA SUPERIOR DE CIÊNCIAS DA SANTA CASA DE MISERICÓRDIA DE VITÓRIA,EMESCAM,Aca.,SERVIÇO SOCIAL                                    ,3
27001016037P7,Serviço Social,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Aca.,SERVIÇO SOCIAL                                    ,4
31003010084P3,SERVIÇO SOCIAL E DESENVOLVIMENTO REGIONAL,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Aca.,SERVIÇO SOCIAL                                    ,4
22003010025P8,"Serviço Social, Trabalho e Questão Social",UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Aca.,SERVIÇO SOCIAL                                    ,4
24004014015P4,SERVIÇO SOCIAL,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Aca.,SERVIÇO SOCIAL                                    ,3
40015017026P0,SERVIÇO SOCIAL,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,Aca.,SERVIÇO SOCIAL                                    ,3
23002018010P7,Serviço Social e Direitos Sociais,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Aca.,SERVIÇO SOCIAL                                    ,3
42001013158P1,POLÍTICA SOCIAL E SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Aca.,SERVIÇO SOCIAL                                    ,4
33009015171P3,SERVIÇO SOCIAL E POLÍTICAS SOCIAIS,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,Aca.,SERVIÇO SOCIAL                                    ,3
28001010175P7,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Aca.,SERVIÇO SOCIAL                                    ,3
28022017015P6,Política Social e Territórios,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Aca.,SERVIÇO SOCIAL                                    ,3
16003012175P2,SERVIÇO SOCIAL,UNIVERSIDADE FEDERAL DO TOCANTINS,UFT,Aca.,SERVIÇO SOCIAL                                    ,3
22001018037P3,FILOSOFIA,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Aca.,FILOSOFIA,4
23001011030P1,FILOSOFIA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Aca.,FILOSOFIA,5
24001015005P0,FILOSOFIA,UNIVERSIDADE FEDERAL DA PARAÍBA - CAMPUS JOÃO PESSOA,UFPB-JOÃO PESSOA,Aca.,FILOSOFIA,4
28001010042P7,FILOSOFIA,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Aca.,FILOSOFIA,6
31001017022P1,FILOSOFIA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,FILOSOFIA,5
31004016016P0,FILOSOFIA,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Aca.,FILOSOFIA,5
31005012006P1,FILOSOFIA,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Aca.,FILOSOFIA,5
32001010012P9,FILOSOFIA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Aca.,FILOSOFIA,7
33001014010P9,FILOSOFIA,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Aca.,FILOSOFIA,5
33002010031P2,FILOSOFIA,UNIVERSIDADE DE SÃO PAULO,USP,Aca.,FILOSOFIA,7
33003017066P7,FILOSOFIA,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Aca.,FILOSOFIA,6
33004110041P1,FILOSOFIA,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS MARÍLIA,UNESP-MARÍLIA,Aca.,FILOSOFIA,5
33005010008P3,FILOSOFIA,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,Aca.,FILOSOFIA,6
40001016039P7,FILOSOFIA,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Aca.,FILOSOFIA,5
40003019015P3,FILOSOFIA,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Aca.,FILOSOFIA,6
41001010029P8,FILOSOFIA,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Aca.,FILOSOFIA,7
42001013032P8,FILOSOFIA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Aca.,FILOSOFIA,6
42002010002P1,FILOSOFIA,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Aca.,FILOSOFIA,5
42005019004P0,FILOSOFIA,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Aca.,FILOSOFIA,7
42007011010P2,FILOSOFIA,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Aca.,FILOSOFIA,6
52001016011P9,FILOSOFIA,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Aca.,FILOSOFIA,5
53001010048P6,FILOSOFIA,UNIVERSIDADE DE BRASÍLIA,UNB,Aca.,FILOSOFIA,5
40015017005P2,FILOSOFIA,UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,UNIOESTE,Aca.,FILOSOFIA,5
32029012003P4,FILOSOFIA,FACULDADE JESUÍTA DE FILOSOFIA E TEOLOGIA,FAJE,Aca.,FILOSOFIA,4
32007019012P7,Filosofia,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Aca.,FILOSOFIA,4
31001017123P2,LÓGICA E METAFÍSICA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,FILOSOFIA,5
32006012024P9,FILOSOFIA,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Aca.,FILOSOFIA,5
21001014015P7,FILOSOFIA,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Aca.,FILOSOFIA,5
42003016031P4,FILOSOFIA,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,Aca.,FILOSOFIA,4
30001013037P6,FILOSOFIA,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Aca.,FILOSOFIA,4
40002012045P3,Filosofia,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Aca.,FILOSOFIA,4
33009015072P5,FILOSOFIA,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,Aca.,FILOSOFIA,5
31003010081P4,FILOSOFIA,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Aca.,FILOSOFIA,4
15001016070P0,FILOSOFIA,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,FILOSOFIA,4
42008018011P5,Filosofia,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Aca.,FILOSOFIA,4
27001016039P0,Filosofia,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Aca.,FILOSOFIA,4
40004015036P7,Filosofia,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Aca.,FILOSOFIA,4
31002013031P7,Filosofia,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,Aca.,FILOSOFIA,4
50001019038P9,Filosofia,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Aca.,FILOSOFIA,4
25001019094P5,FILOSOFIA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,FILOSOFIA,4
33144010020P1,FILOSOFIA,UNIVERSIDADE FEDERAL DO ABC,UFABC,Aca.,FILOSOFIA,4
31022014008P9,FILOSOFIA E ENSINO,CENTRO FEDERAL DE EDUCAÇÃO TECNOLÓGICA CELSO SUCKOW DA FONSECA,CEFET-RJ,Prof.,FILOSOFIA,4
53001010109P5,METAFÍSICA,UNIVERSIDADE DE BRASÍLIA,UNB,Aca.,FILOSOFIA,5
32005016107P5,FILOSOFIA,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Aca.,FILOSOFIA,3
41020014013P8,FILOSOFIA,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,Aca.,FILOSOFIA,3
10001018043P0,FILOSOFIA,UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,Aca.,FILOSOFIA,3
32018010045P0,FILOSOFIA,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL-REI,UFSJ,Aca.,FILOSOFIA,3
26001012172P9,FILOSOFIA,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Aca.,FILOSOFIA,3
32004010048P6,FILOSOFIA,UNIVERSIDADE FEDERAL DE LAVRAS,UFLA,Aca.,FILOSOFIA,3
22004017004P7,FILOSOFIA,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,Aca.,FILOSOFIA,3
25002015010P2,FILOSOFIA,UNIVERSIDADE CATÓLICA DE PERNAMBUCO,UNICAP,Aca.,FILOSOFIA,3
15001016034P4,SOCIOLOGIA E ANTROPOLOGIA,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,SOCIOLOGIA                                        ,5
20001010011P9,CIÊNCIAS SOCIAIS,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Aca.,SOCIOLOGIA                                        ,4
22001018008P3,SOCIOLOGIA,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Aca.,SOCIOLOGIA                                        ,5
22003010009P2,Sociologia,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Aca.,SOCIOLOGIA                                        ,4
23001011004P0,CIÊNCIAS SOCIAIS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Aca.,SOCIOLOGIA                                        ,4
24001015004P3,SOCIOLOGIA,UNIVERSIDADE FEDERAL DA PARAÍBA - CAMPUS JOÃO PESSOA,UFPB-JOÃO PESSOA,Aca.,SOCIOLOGIA                                        ,5
25001019012P9,SOCIOLOGIA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,SOCIOLOGIA                                        ,5
26001012013P8,SOCIOLOGIA,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Aca.,SOCIOLOGIA                                        ,4
27001016011P8,Sociologia,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Aca.,SOCIOLOGIA                                        ,5
28001010023P2,CIÊNCIAS SOCIAIS,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Aca.,SOCIOLOGIA                                        ,5
31001017020P9,SOCIOLOGIA E ANTROPOLOGIA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,SOCIOLOGIA                                        ,7
31002013007P9,"CIÊNCIAS SOCIAIS EM DESENVOLVIMENTO, AGRICULTURA E SOCIEDADE",UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,Aca.,SOCIOLOGIA                                        ,5
31004016020P8,CIÊNCIAS SOCIAIS,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Aca.,SOCIOLOGIA                                        ,4
32001010033P6,SOCIOLOGIA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Aca.,SOCIOLOGIA                                        ,6
32008015007P0,CIÊNCIAS SOCIAIS,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE MINAS GERAIS,PUC MINAS,Aca.,SOCIOLOGIA                                        ,5
33002010028P1,SOCIOLOGIA,UNIVERSIDADE DE SÃO PAULO,USP,Aca.,SOCIOLOGIA                                        ,6
33003017015P3,SOCIOLOGIA,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Aca.,SOCIOLOGIA                                        ,6
33003017039P0,CIÊNCIAS SOCIAIS,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Aca.,SOCIOLOGIA                                        ,5
33004030017P7,Ciências Sociais,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS ARARAQUARA,UNESP-ARARAQUARA,Aca.,SOCIOLOGIA                                        ,4
33004110042P8,CIÊNCIAS SOCIAIS,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO - CAMPUS MARÍLIA,UNESP-MARÍLIA,Aca.,SOCIOLOGIA                                        ,4
33005010006P0,CIÊNCIAS SOCIAIS,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,Aca.,SOCIOLOGIA                                        ,3
40001016032P2,SOCIOLOGIA,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Aca.,SOCIOLOGIA                                        ,5
40002012017P0,Sociologia,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Aca.,SOCIOLOGIA                                        ,4
41001010018P6,Sociologia e Ciência Política,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Aca.,SOCIOLOGIA                                        ,5
42001013012P7,SOCIOLOGIA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Aca.,SOCIOLOGIA                                        ,7
42007011011P9,CIÊNCIAS SOCIAIS,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,Aca.,SOCIOLOGIA                                        ,5
52001016020P8,SOCIOLOGIA,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Aca.,SOCIOLOGIA                                        ,4
53001010009P0,SOCIOLOGIA,UNIVERSIDADE DE BRASÍLIA,UNB,Aca.,SOCIOLOGIA                                        ,7
53001010029P1,ESTUDOS COMPARADOS SOBRE AS AMÉRICAS,UNIVERSIDADE DE BRASÍLIA,UNB,Aca.,SOCIOLOGIA                                        ,4
31005012030P0,CIÊNCIAS SOCIAIS,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Aca.,SOCIOLOGIA                                        ,5
32005016011P8,CIÊNCIAS SOCIAIS,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Aca.,SOCIOLOGIA                                        ,4
42005019030P0,Sociologia e Ciência Política,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Aca.,SOCIOLOGIA                                        ,6
42003016024P8,SOCIOLOGIA,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,Aca.,SOCIOLOGIA                                        ,5
24009016019P1,CIÊNCIAS SOCIAIS,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,Aca.,SOCIOLOGIA                                        ,4
31033016017P6,SOCIOLOGIA POLÍTICA,UNIVERSIDADE ESTADUAL DO NORTE FLUMINENSE DARCY RIBEIRO,UENF,Aca.,SOCIOLOGIA                                        ,5
33001014025P6,SOCIOLOGIA,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Aca.,SOCIOLOGIA                                        ,6
30001013035P3,CIÊNCIAS SOCIAIS,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Aca.,SOCIOLOGIA                                        ,4
42002010041P7,CIÊNCIAS SOCIAIS,UNIVERSIDADE FEDERAL DE SANTA MARIA,UFSM,Aca.,SOCIOLOGIA                                        ,4
40004015031P5,Ciências Sociais,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Aca.,SOCIOLOGIA                                        ,4
28022017005P0,Ciências Sociais,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,Aca.,SOCIOLOGIA                                        ,4
32006012028P4,Ciências Sociais,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Aca.,SOCIOLOGIA                                        ,3
33009015073P1,CIÊNCIAS SOCIAIS,UNIVERSIDADE FEDERAL DE SÃO PAULO,UNIFESP,Aca.,SOCIOLOGIA                                        ,4
31003010075P4,Sociologia,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Aca.,SOCIOLOGIA                                        ,4
31004016060P0,SOCIOLOGIA,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Aca.,SOCIOLOGIA                                        ,7
21001014030P6,Sociologia,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Aca.,SOCIOLOGIA                                        ,3
31002013025P7,Ciências Sociais,UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO,UFRRJ,Aca.,SOCIOLOGIA                                        ,4
30011019005P9,Sociologia Política,UNIVERSIDADE VILA VELHA,UVV,Aca.,SOCIOLOGIA                                        ,4
51005018015P7,Sociologia,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,Aca.,SOCIOLOGIA                                        ,4
31032010010P9,SOCIOLOGIA POLÍTICA,UNIVERSIDADE CÂNDIDO MENDES,UCAM,Aca.,SOCIOLOGIA                                        ,4
50001019101P2,SOCIOLOGIA,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Aca.,SOCIOLOGIA                                        ,3
20001010044P4,SOCIOLOGIA,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Aca.,SOCIOLOGIA                                        ,3
25001019013P5,ANTROPOLOGIA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,5
25001019059P5,ARQUEOLOGIA,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,5
31001017021P5,ANTROPOLOGIA SOCIAL,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,7
31003010031P7,ANTROPOLOGIA,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,6
33002010029P8,CIÊNCIA SOCIAL (ANTROPOLOGIA SOCIAL),UNIVERSIDADE DE SÃO PAULO,USP,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,6
33002010151P8,ARQUEOLOGIA,UNIVERSIDADE DE SÃO PAULO,USP,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,6
33003017016P0,ANTROPOLOGIA SOCIAL,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,6
40001016027P9,Antropologia e Arqueologia,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,4
41001010017P0,ANTROPOLOGIA SOCIAL,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,6
42001013034P0,ANTROPOLOGIA SOCIAL,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,7
53001010010P9,ANTROPOLOGIA,UNIVERSIDADE DE BRASÍLIA,UNB,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,7
23001011037P6,ANTROPOLOGIA SOCIAL,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,5
32001010072P1,ANTROPOLOGIA,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,5
28001010058P0,ANTROPOLOGIA,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,4
31001017125P5,ARQUEOLOGIA,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,5
33001014023P3,ANTROPOLOGIA SOCIAL,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,5
12001015029P2,ANTROPOLOGIA SOCIAL,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,4
52001016043P8,ANTROPOLOGIA SOCIAL,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,5
21001014017P0,ANTROPOLOGIA,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,3
27001016026P5,ANTROPOLOGIA,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,3
15001016060P5,ANTROPOLOGIA,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,5
27001016033P1,Arqueologia,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,4
24001015060P0,Antropologia,UNIVERSIDADE FEDERAL DA PARAÍBA - CAMPUS JOÃO PESSOA,UFPB-JOÃO PESSOA,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,4
51005018013P4,Antropologia,UNIVERSIDADE FEDERAL DA GRANDE DOURADOS,UFGD,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,4
42003016045P5,Antropologia,UNIVERSIDADE FEDERAL DE PELOTAS,UFPEL,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,5
21001014032P9,Arqueologia,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,3
20002017007P8,Cartografia Social e Política da Amazônia,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,4
50001019037P2,Antropologia Social,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,3
26001012082P0,ANTROPOLOGIA SOCIAL,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,3
13001019039P0,ANTROPOLOGIA SOCIAL,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,3
22001018171P1,ANTROPOLOGIA,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,3
51001012174P2,ANTROPOLOGIA SOCIAL ,UNIVERSIDADE FEDERAL DE MATO GROSSO DO SUL,UFMS,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,3
25004018073P7,"CULTURAS AFRICANAS, DA DIÁSPORA, E DOS POVOS INDÍGENAS",UNIVERSIDADE DE PERNAMBUCO,UPE,Prof.,ANTROPOLOGIA / ARQUEOLOGIA                        ,1
31003010173P6,JUSTIÇA E SEGURANÇA,UNIVERSIDADE FEDERAL FLUMINENSE,UFF,Aca.,ANTROPOLOGIA / ARQUEOLOGIA                        ,3
