Gênero do indiciado,Hora,Data,Idade do indiciado
Masculino,15:00:00,30/08/2023,35
Masculino,15:00:00,30/08/2023,21
Masculino,17:00:00,06/09/2023,26
Masculino,10:20:00,17/09/2023,25
Masculino,04:50:00,30/09/2023,24
Masculino,13:00:00,08/10/2023,36
Masculino,20:30:00,15/10/2023,22
Feminino,12:30:00,16/10/2023,21
Feminino,12:30:00,16/10/2023,18
Masculino,12:30:00,16/10/2023,19
Masculino,13:50:00,16/10/2023,27
Masculino,13:50:00,16/10/2023,29
Masculino,16:45:00,17/10/2023,30
Feminino,23:30:00,18/10/2023,19
Masculino,05:40:00,27/10/2023,30
Masculino,19:30:00,30/10/2023,25
Masculino,09:40:00,31/10/2023,18
Masculino,13:43:00,04/11/2023,41
Masculino,23:00:00,06/11/2023,20
Masculino,09:40:00,10/11/2023,23
Masculino,14:50:00,15/11/2023,28
Feminino,22:30:00,20/11/2023,18
Masculino,22:30:00,20/11/2023,34
Masculino,21:30:00,23/11/2023,23
Masculino,07:20:00,26/11/2023,38
Masculino,10:30:00,07/12/2023,40
Masculino,15:00:00,10/12/2023,19
Masculino,17:00:00,13/12/2023,18
Masculino,09:00:00,16/12/2023,25
Masculino,20:30:00,16/12/2023,30
Masculino,19:30:00,24/12/2023,19
Masculino,11:50:00,11/01/2024,Não Informado
Masculino,19:00:00,12/01/2024,41
Masculino,19:40:00,06/02/2024,21
Masculino,18:30:00,08/02/2024,25
Masculino,03:20:00,24/02/2024,31
Masculino,06:10:00,24/02/2024,37
Masculino,06:10:00,24/02/2024,43
Masculino,17:05:00,25/02/2024,18
Masculino,17:50:00,25/02/2024,31
Masculino,17:50:00,25/02/2024,Não Informado
Masculino,18:10:00,04/03/2024,22
Masculino,12:57:00,05/03/2024,19
Feminino,21:47:00,10/03/2024,21
Masculino,21:00:00,13/03/2024,19
Masculino,21:00:00,13/03/2024,26
Masculino,22:30:00,13/03/2024,19
Masculino,11:28:00,14/03/2024,39
Masculino,21:20:00,18/03/2024,21
Masculino,21:20:00,18/03/2024,19
Masculino,06:00:00,20/03/2024,28
Masculino,08:20:00,25/03/2024,24
Masculino,19:30:00,25/03/2024,30
Masculino,21:25:00,28/03/2024,30
Masculino,11:30:00,03/04/2024,36
Masculino,12:20:00,04/04/2024,39
Masculino,12:40:00,11/04/2024,37
Masculino,13:00:00,12/04/2024,39
Masculino,23:30:00,12/04/2024,29
Masculino,23:30:00,12/04/2024,26
Masculino,23:30:00,12/04/2024,20
Masculino,23:30:00,12/04/2024,19
Masculino,17:00:00,15/04/2024,26
Masculino,23:30:00,01/05/2024,29
Masculino,16:00:00,17/05/2024,22
Masculino,07:33:00,19/05/2024,24
Masculino,07:33:00,19/05/2024,23
Masculino,11:14:00,23/05/2024,34
Masculino,00:20:00,29/05/2024,24
Masculino,00:20:00,29/05/2024,36
Masculino,23:40:00,08/06/2024,18
Masculino,07:30:00,09/06/2024,38
Masculino,08:00:00,13/06/2024,23
Masculino,08:00:00,13/06/2024,38
Masculino,19:00:00,21/06/2024,24
Masculino,19:00:00,21/06/2024,18
Masculino,20:00:00,26/06/2024,20
Masculino,20:00:00,26/06/2024,20
Masculino,21:10:00,08/07/2024,23
Masculino,21:40:00,03/08/2024,24
Masculino,19:40:00,09/08/2024,37
Masculino,08:50:00,11/08/2024,38
Masculino,14:00:00,11/08/2024,25
Masculino,19:30:00,18/08/2024,20
Masculino,16:30:00,09/09/2024,22
Masculino,09:00:00,16/09/2024,32
Masculino,02:05:00,18/09/2024,23
Masculino,20:10:00,22/09/2024,23
Masculino,23:20:00,23/09/2024,23
Masculino,20:00:00,09/10/2024,18
Masculino,13:20:00,25/10/2024,39
Masculino,21:10:00,28/11/2024,20
Masculino,17:30:00,01/12/2024,32
Masculino,13:09:00,03/12/2024,37
Masculino,15:25:00,14/12/2024,23
Masculino,15:40:00,20/12/2024,22
Masculino,15:40:00,11/01/2025,18
Masculino,15:40:00,11/01/2025,27
Masculino,15:30:00,13/01/2025,26
Masculino,11:45:00,29/01/2025,30
Masculino,11:45:00,29/01/2025,31
Masculino,11:45:00,29/01/2025,33
Masculino,11:45:00,29/01/2025,32
Masculino,11:45:00,29/01/2025,22
Masculino,11:45:00,29/01/2025,19
Masculino,13:30:00,12/02/2025,Não Informado
Masculino,13:30:00,12/02/2025,Não Informado
Masculino,16:40:00,03/03/2025,37
Masculino,16:40:00,03/03/2025,18
Masculino,09:10:00,07/03/2025,24
Masculino,14:00:00,25/03/2025,26
Masculino,07:20:00,28/03/2025,30
Masculino,22:50:00,30/03/2025,23
Masculino,01:40:00,05/04/2025,23
Masculino,01:40:00,05/04/2025,24
Masculino,11:30:00,21/04/2025,20
Masculino,15:00:00,08/05/2025,23
Masculino,15:00:00,08/05/2025,23
Masculino,15:00:00,08/05/2025,20
Feminino,15:00:00,19/05/2025,36
Masculino,15:00:00,19/05/2025,19
Masculino,14:10:00,24/05/2025,25
Masculino,14:40:00,25/05/2025,32
Feminino,11:20:00,01/06/2025,28
Masculino,16:20:00,02/06/2025,23
Masculino,16:20:00,02/06/2025,19
Masculino,11:00:00,06/06/2025,18
Masculino,16:10:00,08/06/2025,36
Masculino,15:30:00,22/06/2025,49
Masculino,15:30:00,22/06/2025,28
Masculino,17:45:00,26/06/2025,33
Masculino,19:00:00,28/06/2025,26
Masculino,18:30:00,24/07/2025,23
Masculino,12:00:00,25/07/2025,21
Masculino,15:00:00,26/07/2025,24
Masculino,07:00:00,31/07/2025,36
Masculino,10:00:00,16/08/2025,23
Masculino,10:00:00,16/08/2025,25
Masculino,10:00:00,16/08/2025,18
Masculino,10:00:00,16/08/2025,37
Masculino,15:40:00,16/08/2025,39
Masculino,15:40:00,16/08/2025,35
Masculino,00:10:00,24/08/2025,30
Masculino,07:30:00,10/09/2025,37
Masculino,11:00:00,16/09/2025,22
Masculino,11:00:00,16/09/2025,20
Masculino,07:30:00,26/09/2025,49
