Ano,Mes,Dia,Evento,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2010,8,18,Cartão Amarelo,1,0,Avaí,Copa Sul-Americana,Santos,0-1,Vitória
2010,8,12,Apenas Participação,0,0,Avaí,Copa Sul-Americana,Santos,1-3,Derrota
2010,8,10,Gol,0,0,Estados Unidos,Amistosos da Seleção,Brasil,0-2,Vitória
2010,8,4,Assistência,0,0,Vitória,Copa do Brasil,Santos,2-1,Derrota
2010,7,28,Gol,0,0,Vitória,Copa do Brasil,Santos,2-0,Vitória
2010,7,25,Apenas Participação,0,0,São Paulo,Brasileirão,Santos,1-0,Vitória
2010,7,21,Apenas Participação,0,0,Athletico Paranaense,Brasileirão,Santos,2-0,Derrota
2010,7,18,Apenas Participação,0,0,Fluminense,Brasileirão,Santos,0-1,Derrota
2010,7,15,Cartão Amarelo,1,0,Palmeiras,Brasileirão,Santos,2-1,Derrota
2010,6,2,Cartão Amarelo,1,0,Cruzeiro,Brasileirão,Santos,0-0,Empate
2010,5,30,Cartão Amarelo,1,0,Corinthians,Brasileirão,Santos,4-2,Derrota
2010,5,26,Gol,0,0,Guarani,Brasileirão,Santos,3-1,Vitória
2010,5,19,Cartão Amarelo,1,0,Grêmio,Copa do Brasil,Santos,3-1,Vitória
2010,5,16,Gol,1,0,Ceará,Brasileirão,Santos,1-1,Empate
2010,5,16,Cartão Amarelo,1,0,Ceará,Brasileirão,Santos,1-1,Empate
2010,5,8,Gol,0,0,Botafogo,Brasileirão,Santos,3-3,Empate
2010,5,5,Gol,1,0,Atlético Mineiro,Copa do Brasil,Santos,3-1,Vitória
2010,5,5,Assistência,1,0,Atlético Mineiro,Copa do Brasil,Santos,3-1,Vitória
2010,5,5,Cartão Amarelo,1,0,Atlético Mineiro,Copa do Brasil,Santos,3-1,Vitória
2010,5,2,Gol,1,0,Santo André,Paulistão,Santos,2-3,Derrota
2010,5,2,Gol,1,0,Santo André,Paulistão,Santos,2-3,Derrota
2010,5,2,Cartão Amarelo,1,0,Santo André,Paulistão,Santos,2-3,Derrota
2010,4,25,Apenas Participação,0,0,Santo André,Paulistão,Santos,2-3,Vitória
2010,4,18,Gol,0,0,São Paulo,Paulistão,Santos,3-0,Vitória
2010,4,18,Gol,0,0,São Paulo,Paulistão,Santos,3-0,Vitória
2010,4,14,Gol,1,0,Guarani,Copa do Brasil,Santos,8-1,Vitória
2010,4,14,Gol,1,0,Guarani,Copa do Brasil,Santos,8-1,Vitória
2010,4,14,Gol,1,0,Guarani,Copa do Brasil,Santos,8-1,Vitória
2010,4,14,Gol,1,0,Guarani,Copa do Brasil,Santos,8-1,Vitória
2010,4,14,Gol,1,0,Guarani,Copa do Brasil,Santos,8-1,Vitória
2010,4,14,Cartão Amarelo,1,0,Guarani,Copa do Brasil,Santos,8-1,Vitória
2010,4,11,Assistência,1,0,São Paulo,Paulistão,Santos,2-3,Vitória
2010,4,11,Cartão Amarelo,1,0,São Paulo,Paulistão,Santos,2-3,Vitória
2010,4,4,Gol,0,0,São Caetano,Paulistão,Santos,1-3,Vitória
2010,3,28,Apenas Participação,0,0,Monte Azul,Paulistão,Santos,5-0,Vitória
2010,3,18,Gol,0,0,Remo,Copa do Brasil,Santos,0-4,Vitória
2010,3,18,Gol,0,0,Remo,Copa do Brasil,Santos,0-4,Vitória
2010,3,18,Assistência,0,0,Remo,Copa do Brasil,Santos,0-4,Vitória
2010,3,18,Assistência,0,0,Remo,Copa do Brasil,Santos,0-4,Vitória
2010,3,14,Gol,1,1,Palmeiras,Paulistão,Santos,3-4,Derrota
2010,3,14,Cartão Amarelo,1,1,Palmeiras,Paulistão,Santos,3-4,Derrota
2010,3,14,Cartão Vermelho,1,1,Palmeiras,Paulistão,Santos,3-4,Derrota
2010,3,10,Gol,1,0,Naviraiense,Copa do Brasil,Santos,10-0,Vitória
2010,3,10,Gol,1,0,Naviraiense,Copa do Brasil,Santos,10-0,Vitória
2010,3,10,Assistência,1,0,Naviraiense,Copa do Brasil,Santos,10-0,Vitória
2010,3,10,Assistência,1,0,Naviraiense,Copa do Brasil,Santos,10-0,Vitória
2010,3,10,Assistência,1,0,Naviraiense,Copa do Brasil,Santos,10-0,Vitória
2010,3,10,Cartão Amarelo,1,0,Naviraiense,Copa do Brasil,Santos,10-0,Vitória
2010,3,7,Apenas Participação,0,0,Portuguesa,Paulistão,Santos,1-1,Empate
2010,3,4,Apenas Participação,0,0,Paulista,Paulistão,Santos,2-3,Vitória
2010,2,28,Gol,1,0,Corinthians,Paulistão,Santos,2-1,Vitória
2010,2,28,Assistência,1,0,Corinthians,Paulistão,Santos,2-1,Vitória
2010,2,28,Cartão Amarelo,1,0,Corinthians,Paulistão,Santos,2-1,Vitória
2010,2,24,Apenas Participação,0,0,Naviraiense,Copa do Brasil,Santos,0-1,Vitória
2010,2,18,Cartão Amarelo,1,0,Red Bull Bragantino,Paulistão,Santos,6-3,Vitória
2010,2,14,Apenas Participação,0,0,Rio Claro,Paulistão,Santos,2-1,Vitória
2010,2,7,Gol,0,0,São Paulo,Paulistão,Santos,1-2,Vitória
2010,2,4,Gol,0,0,Santo André,Paulistão,Santos,1-2,Vitória
2010,2,4,Assistência,0,0,Santo André,Paulistão,Santos,1-2,Vitória
2010,1,30,Gol,1,0,Osasco Sporting,Paulistão,Santos,2-0,Vitória
2010,1,30,Cartão Amarelo,1,0,Osasco Sporting,Paulistão,Santos,2-0,Vitória
2010,1,27,Gol,1,0,Grêmio Barueri,Paulistão,Santos,5-0,Vitória
2010,1,27,Gol,1,0,Grêmio Barueri,Paulistão,Santos,5-0,Vitória
2010,1,27,Assistência,1,0,Grêmio Barueri,Paulistão,Santos,5-0,Vitória
2010,1,27,Cartão Amarelo,1,0,Grêmio Barueri,Paulistão,Santos,5-0,Vitória
2010,1,24,Assistência,0,0,Mogi Mirim,Paulistão,Santos,2-1,Derrota
2010,1,20,Apenas Participação,0,0,Ponte Preta,Paulistão,Santos,1-1,Empate
2010,1,17,Gol,0,0,Rio Branco-SP,Paulistão,Santos,0-4,Vitória
2010,1,17,Gol,0,0,Rio Branco-SP,Paulistão,Santos,0-4,Vitória
2011,12,18,Apenas Participação,0,0,Barcelona,Mundial de Clubes,Santos,0-4,Vitória
2011,12,14,Gol,0,0,Kashiwa Reysol,Mundial de Clubes,Santos,1-3,Vitória
2011,11,27,Gol,0,0,Bahia,Brasileirão,Santos,1-1,Empate
2011,11,17,Cartão Amarelo,1,0,Atlético Goianiense,Brasileirão,Santos,1-1,Empate
2011,11,6,Gol,0,0,Vasco,Brasileirão,Santos,2-0,Vitória
2011,11,6,Assistência,0,0,Vasco,Brasileirão,Santos,2-0,Vitória
2011,10,29,Gol,1,0,Athletico Paranaense,Brasileirão,Santos,4-1,Vitória
2011,10,29,Gol,1,0,Athletico Paranaense,Brasileirão,Santos,4-1,Vitória
2011,10,29,Gol,1,0,Athletico Paranaense,Brasileirão,Santos,4-1,Vitória
2011,10,29,Gol,1,0,Athletico Paranaense,Brasileirão,Santos,4-1,Vitória
2011,10,29,Cartão Amarelo,1,0,Athletico Paranaense,Brasileirão,Santos,4-1,Vitória
2011,10,23,Gol,0,0,Flamengo,Brasileirão,Santos,1-1,Empate
2011,10,19,Gol,0,0,Botafogo,Brasileirão,Santos,2-0,Vitória
2011,10,13,Cartão Amarelo,1,1,Atlético Mineiro,Brasileirão,Santos,2-1,Derrota
2011,10,13,Cartão Vermelho,1,1,Atlético Mineiro,Brasileirão,Santos,2-1,Derrota
2011,10,11,Assistência,0,0,México,Amistosos da Seleção,Brasil,1-2,Vitória
2011,10,7,Gol,1,0,Costa Rica,Amistosos da Seleção,Brasil,0-1,Vitória
2011,10,7,Cartão Amarelo,1,0,Costa Rica,Amistosos da Seleção,Brasil,0-1,Vitória
2011,10,1,Gol,0,0,Fluminense,Brasileirão,Santos,3-2,Derrota
2011,10,1,Assistência,0,0,Fluminense,Brasileirão,Santos,3-2,Derrota
2011,9,28,Gol,0,0,Argentina,Amistosos da Seleção,Brasil,2-0,Vitória
2011,9,21,Assistência,1,0,América Mineiro,Brasileirão,Santos,1-2,Vitória
2011,9,21,Cartão Amarelo,1,0,América Mineiro,Brasileirão,Santos,1-2,Vitória
2011,9,18,Apenas Participação,0,0,Corinthians,Brasileirão,Santos,1-3,Vitória
2011,9,14,Apenas Participação,0,0,Argentina,Amistosos da Seleção,Brasil,0-0,Empate
2011,9,10,Apenas Participação,0,0,Cruzeiro,Brasileirão,Santos,1-0,Vitória
2011,9,7,Apenas Participação,0,0,Avaí,Brasileirão,Santos,1-2,Vitória
2011,9,5,Apenas Participação,0,0,Gana,Amistosos da Seleção,Brasil,1-0,Vitória
2011,8,31,Apenas Participação,0,0,Internacional,Brasileirão,Santos,3-3,Empate
2011,8,28,Apenas Participação,0,0,São Paulo,Brasileirão,Santos,1-1,Empate
2011,8,24,Apenas Participação,0,0,Fluminense,Brasileirão,Santos,2-1,Vitória
2011,8,21,Gol,0,0,Bahia,Brasileirão,Santos,1-2,Vitória
2011,8,17,Cartão Amarelo,1,0,Coritiba,Brasileirão,Santos,2-3,Derrota
2011,8,13,Cartão Amarelo,1,0,Atlético Goianiense,Brasileirão,Santos,2-0,Derrota
2011,8,10,Gol,0,0,Alemanha,Amistosos da Seleção,Brasil,3-2,Derrota
2011,8,3,Cartão Amarelo,1,0,Vasco,Brasileirão,Santos,2-0,Derrota
2011,7,31,Gol,1,0,Athletico Paranaense,Brasileirão,Santos,3-2,Derrota
2011,7,31,Cartão Amarelo,1,0,Athletico Paranaense,Brasileirão,Santos,3-2,Derrota
2011,7,27,Gol,1,0,Flamengo,Brasileirão,Santos,4-5,Derrota
2011,7,27,Gol,1,0,Flamengo,Brasileirão,Santos,4-5,Derrota
2011,7,27,Assistência,1,0,Flamengo,Brasileirão,Santos,4-5,Derrota
2011,7,27,Cartão Amarelo,1,0,Flamengo,Brasileirão,Santos,4-5,Derrota
2011,7,17,Apenas Participação,0,0,Paraguai,Copa América,Brasil,0-0(0-2)g.p.,
2011,7,13,Gol,0,0,Equador,Copa América,Brasil,4-2,Derrota
2011,7,13,Gol,0,0,Equador,Copa América,Brasil,4-2,Derrota
2011,7,9,Apenas Participação,0,0,Paraguai,Copa América,Brasil,2-2,Empate
2011,7,3,Apenas Participação,0,0,Venezuela,Copa América,Brasil,0-0,Empate
2011,6,22,Gol,1,0,Peñarol,Copa Libertadores,Santos,2-1,Vitória
2011,6,22,Cartão Amarelo,1,0,Peñarol,Copa Libertadores,Santos,2-1,Vitória
2011,6,15,Cartão Amarelo,1,0,Peñarol,Copa Libertadores,Santos,0-0,Empate
2011,6,7,Assistência,0,0,Romênia,Amistosos da Seleção,Brasil,1-0,Vitória
2011,6,4,Cartão Amarelo,1,0,Holanda,Amistosos da Seleção,Brasil,0-0,Empate
2011,6,1,Gol,0,0,Cerro Porteño,Copa Libertadores,Santos,3-3,Empate
2011,5,25,Assistência,1,0,Cerro Porteño,Copa Libertadores,Santos,1-0,Vitória
2011,5,25,Cartão Amarelo,1,0,Cerro Porteño,Copa Libertadores,Santos,1-0,Vitória
2011,5,18,Gol,0,0,Once Caldas,Copa Libertadores,Santos,1-1,Empate
2011,5,15,Gol,0,0,Corinthians,Paulistão,Santos,2-1,Vitória
2011,5,11,Assistência,0,0,Once Caldas,Copa Libertadores,Santos,0-1,Vitória
2011,5,8,Cartão Amarelo,1,0,Corinthians,Paulistão,Santos,0-0,Empate
2011,5,3,Apenas Participação,0,0,Club América,Copa Libertadores,Santos,0-0,Empate
2011,4,30,Assistência,0,0,São Paulo,Paulistão,Santos,0-2,Vitória
2011,4,27,Assistência,0,0,Club América,Copa Libertadores,Santos,1-0,Vitória
2011,4,23,Gol,0,0,Ponte Preta,Paulistão,Santos,1-0,Vitória
2011,4,20,Gol,0,0,Deportivo Táchira,Copa Libertadores,Santos,3-1,Vitória
2011,4,10,Cartão Amarelo,1,0,Guaratinguetá,Paulistão,Santos,0-0,Empate
2011,4,6,Gol,1,1,Colo-Colo,Copa Libertadores,Santos,3-2,Vitória
2011,4,6,Cartão Amarelo,1,1,Colo-Colo,Copa Libertadores,Santos,3-2,Vitória
2011,4,6,Cartão Vermelho,1,1,Colo-Colo,Copa Libertadores,Santos,3-2,Vitória
2011,4,3,Cartão Amarelo,1,0,Palmeiras,Paulistão,Santos,0-1,Derrota
2011,3,27,Gol,0,0,Escócia,Amistosos da Seleção,Brasil,2-0,Vitória
2011,3,27,Gol,0,0,Escócia,Amistosos da Seleção,Brasil,2-0,Vitória
2011,3,19,Cartão Amarelo,1,0,Red Bull Bragantino,Paulistão,Santos,2-1,Derrota
2011,3,16,Gol,1,0,Colo-Colo,Copa Libertadores,Santos,3-2,Derrota
2011,3,16,Cartão Amarelo,1,0,Colo-Colo,Copa Libertadores,Santos,3-2,Derrota
2011,3,12,Apenas Participação,0,0,Botafogo-SP,Paulistão,Santos,2-1,Vitória
2011,3,9,Gol,0,0,Portuguesa,Paulistão,Santos,3-0,Vitória
2011,3,9,Gol,0,0,Portuguesa,Paulistão,Santos,3-0,Vitória
2011,3,9,Assistência,0,0,Portuguesa,Paulistão,Santos,3-0,Vitória
2011,3,2,Cartão Amarelo,1,0,Cerro Porteño,Copa Libertadores,Santos,1-1,Empate
2011,2,26,Apenas Participação,0,0,São Bernardo,Paulistão,Santos,1-1,Empate
2011,2,20,Apenas Participação,0,0,Corinthians,Paulistão,Santos,3-1,Derrota
2011,2,15,Apenas Participação,0,0,Deportivo Táchira,Copa Libertadores,Santos,0-0,Empate
2011,2,13,Gol,0,0,Uruguai,Sul-Americano Sub-20,Brasil,0-6,Vitória
2011,2,13,Gol,0,0,Uruguai,Sul-Americano Sub-20,Brasil,0-6,Vitória
2011,2,6,Cartão Amarelo,1,0,Argentina,Sul-Americano Sub-20,Brasil,2-1,Derrota
2011,2,4,Apenas Participação,0,0,Colômbia,Sul-Americano Sub-20,Brasil,2-0,Derrota
2011,1,31,Gol,1,0,Chile,Sul-Americano Sub-20,Brasil,1-5,Vitória
2011,1,31,Gol,1,0,Chile,Sul-Americano Sub-20,Brasil,1-5,Vitória
2011,1,31,Cartão Amarelo,1,0,Chile,Sul-Americano Sub-20,Brasil,1-5,Vitória
2011,1,26,Apenas Participação,0,0,Equador,Sul-Americano Sub-20,Brasil,0-1,Vitória
2011,1,23,Apenas Participação,0,0,Bolívia,Sul-Americano Sub-20,Brasil,1-1,Empate
2011,1,21,Gol,0,0,Colômbia,Sul-Americano Sub-20,Brasil,1-3,Vitória
2011,1,18,Gol,1,0,Paraguai,Sul-Americano Sub-20,Brasil,4-2,Derrota
2011,1,18,Gol,1,0,Paraguai,Sul-Americano Sub-20,Brasil,4-2,Derrota
2011,1,18,Gol,1,0,Paraguai,Sul-Americano Sub-20,Brasil,4-2,Derrota
2011,1,18,Gol,1,0,Paraguai,Sul-Americano Sub-20,Brasil,4-2,Derrota
2011,1,18,Cartão Amarelo,1,0,Paraguai,Sul-Americano Sub-20,Brasil,4-2,Derrota
2012,12,1,Gol,0,0,Palmeiras,Brasileirão,Santos,3-1,Vitória
2012,12,1,Gol,0,0,Palmeiras,Brasileirão,Santos,3-1,Vitória
2012,12,1,Assistência,0,0,Palmeiras,Brasileirão,Santos,3-1,Vitória
2012,11,21,Apenas Participação,0,0,Argentina,Amistosos da Seleção,Brasil,2-1,Derrota
2012,11,17,Cartão Amarelo,1,0,Figueirense,Brasileirão,Santos,2-0,Vitória
2012,11,14,Gol,0,0,Colômbia,Amistosos da Seleção,Brasil,1-1,Empate
2012,11,10,Cartão Amarelo,1,0,Atlético Goianiense,Brasileirão,Santos,2-1,Derrota
2012,11,3,Gol,0,0,Cruzeiro,Brasileirão,Santos,0-4,Vitória
2012,11,3,Gol,0,0,Cruzeiro,Brasileirão,Santos,0-4,Vitória
2012,11,3,Gol,0,0,Cruzeiro,Brasileirão,Santos,0-4,Vitória
2012,11,3,Assistência,0,0,Cruzeiro,Brasileirão,Santos,0-4,Vitória
2012,10,25,Apenas Participação,0,0,Náutico,Brasileirão,Santos,0-0,Empate
2012,10,21,Apenas Participação,0,0,Ponte Preta,Brasileirão,Santos,1-0,Derrota
2012,10,17,Gol,0,0,Atlético Mineiro,Brasileirão,Santos,2-2,Empate
2012,10,15,Gol,0,0,Japão,Amistosos da Seleção,Brasil,0-4,Vitória
2012,10,15,Gol,0,0,Japão,Amistosos da Seleção,Brasil,0-4,Vitória
2012,10,15,Assistência,0,0,Japão,Amistosos da Seleção,Brasil,0-4,Vitória
2012,10,11,Gol,0,0,Iraque,Amistosos da Seleção,Brasil,6-0,Vitória
2012,10,11,Assistência,0,0,Iraque,Amistosos da Seleção,Brasil,6-0,Vitória
2012,10,11,Assistência,0,0,Iraque,Amistosos da Seleção,Brasil,6-0,Vitória
2012,9,30,Cartão Amarelo,1,1,Grêmio,Brasileirão,Santos,1-1,Empate
2012,9,30,Cartão Vermelho,1,1,Grêmio,Brasileirão,Santos,1-1,Empate
2012,9,26,Gol,0,0,Universidad de Chile,Recopa Sul-Americana,Santos,2-0,Vitória
2012,9,19,Gol,1,0,Argentina,Amistosos da Seleção,Brasil,2-1,Vitória
2012,9,19,Assistência,1,0,Argentina,Amistosos da Seleção,Brasil,2-1,Vitória
2012,9,19,Cartão Amarelo,1,0,Argentina,Amistosos da Seleção,Brasil,2-1,Vitória
2012,9,16,Gol,1,0,Coritiba,Brasileirão,Santos,1-2,Vitória
2012,9,16,Gol,1,0,Coritiba,Brasileirão,Santos,1-2,Vitória
2012,9,16,Cartão Amarelo,1,0,Coritiba,Brasileirão,Santos,1-2,Vitória
2012,9,12,Gol,0,0,Flamengo,Brasileirão,Santos,2-0,Vitória
2012,9,10,Gol,0,0,China,Amistosos da Seleção,Brasil,8-0,Vitória
2012,9,10,Gol,0,0,China,Amistosos da Seleção,Brasil,8-0,Vitória
2012,9,10,Gol,0,0,China,Amistosos da Seleção,Brasil,8-0,Vitória
2012,9,7,Apenas Participação,0,0,África do Sul,Amistosos da Seleção,Brasil,1-0,Vitória
2012,8,29,Assistência,0,0,Bahia,Brasileirão,Santos,1-3,Derrota
2012,8,25,Gol,0,0,Palmeiras,Brasileirão,Santos,1-2,Vitória
