Ano,Mes,Dia,Ação,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
2015,03,10,2 Gol(s),1,0,Schalke 04,Champions League,Real Madrid,3-4,Derrota
2015,03,07,Nenhuma,0,0,Athletic Bilbao,La Liga (Espanha),Real Madrid,1-0,Derrota
2015,03,01,1 Gol(s),0,0,Villarreal,La Liga (Espanha),Real Madrid,1-1,Empate
2015,02,22,1 Gol(s),0,0,Elche,La Liga (Espanha),Real Madrid,0-2,Vitória
2015,02,18,1 Gol(s) / 1 Assist.,0,0,Schalke 04,Champions League,Real Madrid,0-2,Vitória
2015,02,14,1 Assist.,0,0,Deportivo,La Liga (Espanha),Real Madrid,2-0,Vitória
2015,02,07,Nenhuma,0,0,Atlético de Madrid,La Liga (Espanha),Real Madrid,4-0,Derrota
2015,01,24,Nenhuma,0,1,Córdoba,La Liga (Espanha),Real Madrid,1-2,Vitória
2015,01,18,2 Gol(s),0,0,Getafe,La Liga (Espanha),Real Madrid,0-3,Vitória
2015,01,15,1 Gol(s),0,0,Atlético de Madrid,Copa do Rei (Espanha),Real Madrid,2-2,Empate
2015,01,10,1 Assist.,1,0,Espanyol,La Liga (Espanha),Real Madrid,3-0,Vitória
2015,01,07,Nenhuma,0,0,Atlético de Madrid,Copa do Rei (Espanha),Real Madrid,2-0,Derrota
2015,01,04,1 Gol(s),0,0,Valencia,La Liga (Espanha),Real Madrid,2-1,Derrota
2016,12,18,3 Gol(s),0,0,Kashima Antlers,Mundial de Clubes,Real Madrid,4-2(a.p.),N/A
2016,12,15,1 Gol(s),0,0,Club América,Mundial de Clubes,Real Madrid,0-2,Vitória
2016,12,07,Nenhuma,0,0,Borussia Dortmund,Champions League,Real Madrid,2-2,Empate
2016,12,03,Nenhuma,0,0,Barcelona,La Liga (Espanha),Real Madrid,1-1,Empate
2016,11,26,2 Gol(s),0,0,Sporting Gijón,La Liga (Espanha),Real Madrid,2-1,Vitória
2016,11,22,1 Assist.,0,0,Sporting,Champions League,Real Madrid,1-2,Vitória
2016,11,19,3 Gol(s),1,0,Atlético de Madrid,La Liga (Espanha),Real Madrid,0-3,Vitória
2016,11,13,2 Gol(s),0,0,Letônia,Eliminatórias da Copa do Mundo,Portugal,4-1,Vitória
2016,11,06,Nenhuma,1,0,Leganés,La Liga (Espanha),Real Madrid,3-0,Vitória
2016,11,02,1 Assist.,0,0,Legia Warszawa,Champions League,Real Madrid,3-3,Empate
2016,10,29,3 Gol(s),0,0,Alavés,La Liga (Espanha),Real Madrid,1-4,Vitória
2016,10,23,Nenhuma,0,0,Athletic Bilbao,La Liga (Espanha),Real Madrid,2-1,Vitória
2016,10,18,2 Assist.,1,0,Legia Warszawa,Champions League,Real Madrid,5-1,Vitória
2016,10,15,1 Gol(s) / 1 Assist.,0,0,Real Betis,La Liga (Espanha),Real Madrid,1-6,Vitória
2016,10,10,1 Gol(s),0,0,Ilhas Faroé,Eliminatórias da Copa do Mundo,Portugal,0-6,Vitória
2016,10,07,4 Gol(s),0,0,Andorra,Eliminatórias da Copa do Mundo,Portugal,6-0,Vitória
2016,10,02,1 Assist.,0,0,Eibar,La Liga (Espanha),Real Madrid,1-1,Empate
2016,09,27,1 Gol(s),0,0,Borussia Dortmund,Champions League,Real Madrid,2-2,Empate
2016,09,24,Nenhuma,0,0,Las Palmas,La Liga (Espanha),Real Madrid,2-2,Empate
2016,09,21,Nenhuma,1,0,Villarreal,La Liga (Espanha),Real Madrid,1-1,Empate
2016,09,14,1 Gol(s),0,0,Sporting,Champions League,Real Madrid,2-1,Vitória
2016,09,10,1 Gol(s),0,0,Osasuna,La Liga (Espanha),Real Madrid,5-2,Vitória
2016,07,10,Nenhuma,0,0,França,Eurocopa,Portugal,1-0(a.p.),N/A
2016,07,06,1 Gol(s) / 1 Assist.,1,0,País de Gales,Eurocopa,Portugal,2-0,Derrota
2016,06,30,Nenhuma,0,0,Polônia,Eurocopa,Portugal,1-1(3-5)g.p.,N/A
2016,06,25,Nenhuma,0,0,Croácia,Eurocopa,Portugal,0-1(a.p.),N/A
2016,06,22,2 Gol(s) / 1 Assist.,0,0,Hungria,Eurocopa,Portugal,3-3,Empate
2016,06,18,Nenhuma,0,0,Áustria,Eurocopa,Portugal,0-0,Empate
2016,06,14,Nenhuma,0,0,Islândia,Eurocopa,Portugal,1-1,Empate
2016,06,08,2 Gol(s),0,0,Estônia,Amistosos da Seleção,Portugal,7-0,Vitória
2016,05,28,Nenhuma,0,0,Atlético de Madrid,Champions League,Real Madrid,1-1(5-3)g.p.,N/A
2016,05,14,2 Gol(s),0,0,Deportivo,La Liga (Espanha),Real Madrid,0-2,Vitória
2016,05,08,2 Gol(s),0,0,Valencia,La Liga (Espanha),Real Madrid,3-2,Vitória
