Jogador,Ano,Mes,Dia,Evento,C. Amarelo,C. Vermelho,Adversário,Competição,Time,PLACAR,Resultado
Neymar,2016,4,5,Apenas Participação,0,0,Atlético de Madrid,Champions League,Barcelona,2-1,Vitória
Neymar,2016,4,2,Apenas Participação,0,0,Real Madrid,La Liga (Espanha),Barcelona,1-2,Derrota
Neymar,2016,3,25,Cartão Amarelo,1,0,Uruguai,Eliminatórias da Copa do Mundo,Brasil,2-2,Empate
Neymar,2016,3,20,Gol,0,0,Villarreal,La Liga (Espanha),Barcelona,2-2,Empate
Neymar,2016,3,16,Gol,0,0,Arsenal,Champions League,Barcelona,3-1,Vitória
Neymar,2016,3,12,Gol,0,0,Getafe,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2016,3,12,Gol,0,0,Getafe,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2016,3,3,Assistência,1,0,Rayo Vallecano,La Liga (Espanha),Barcelona,1-5,Vitória
Neymar,2016,3,3,Cartão Amarelo,1,0,Rayo Vallecano,La Liga (Espanha),Barcelona,1-5,Vitória
Neymar,2016,2,28,Apenas Participação,0,0,Sevilla,La Liga (Espanha),Barcelona,2-1,Vitória
Neymar,2016,2,23,Assistência,0,0,Arsenal,Champions League,Barcelona,0-2,Vitória
Neymar,2016,2,20,Gol,0,0,Las Palmas,La Liga (Espanha),Barcelona,1-2,Vitória
Neymar,2016,2,17,Apenas Participação,0,0,Sporting Gijón,La Liga (Espanha),Barcelona,1-3,Vitória
Neymar,2016,2,14,Gol,0,0,Celta de Vigo,La Liga (Espanha),Barcelona,6-1,Vitória
Neymar,2016,2,14,Assistência,0,0,Celta de Vigo,La Liga (Espanha),Barcelona,6-1,Vitória
Neymar,2016,2,7,Apenas Participação,0,0,Levante,La Liga (Espanha),Barcelona,0-2,Vitória
Neymar,2016,2,3,Assistência,0,0,Valencia,Copa do Rei (Espanha),Barcelona,7-0,Vitória
Neymar,2016,2,3,Assistência,0,0,Valencia,Copa do Rei (Espanha),Barcelona,7-0,Vitória
Neymar,2016,1,30,Apenas Participação,0,0,Atlético de Madrid,La Liga (Espanha),Barcelona,2-1,Vitória
Neymar,2016,1,27,Gol,0,0,Athletic Bilbao,Copa do Rei (Espanha),Barcelona,3-1,Vitória
Neymar,2016,1,20,Gol,0,0,Athletic Bilbao,Copa do Rei (Espanha),Barcelona,1-2,Vitória
Neymar,2016,1,17,Gol,0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2016,1,17,Assistência,0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,6-0,Vitória
Neymar,2016,1,17,Assistência,0,0,Athletic Bilbao,La Liga (Espanha),Barcelona,6-0,Vitória
