AIS;DATA;HORA;MUNICÍPIO;VÍTIMA GÊNERO;VÍTIMA IDADE
AIS 03;2009-05-20;09:30:00;Fortaleza;Feminino;8
AIS 19;2009-05-20;10:00:00;Altaneira;Feminino;11
AIS 12;2009-05-21;06:00:05;Maracanaú;Feminino;5
AIS 09;2009-05-22;11:37:46;Fortaleza;Feminino;6
AIS 06;2009-05-22;15:30:00;Fortaleza;Feminino;4
AIS 06;2009-05-23;16:00:00;Fortaleza;Feminino;14
AIS 15;2009-05-24;08:00:53;Capistrano;Feminino;11
AIS 23;2009-05-25;07:30:53;São Gonçalo do Amarante;Feminino;3
AIS 17;2009-05-25;11:00:00;Itapipoca;Feminino;13
AIS 13;2009-05-25;14:45:34;Aquiraz;Feminino;13
AIS 08;2009-05-25;22:00:00;Fortaleza;Feminino;9
AIS 04;2009-05-26;14:36:31;Fortaleza;Feminino;12
AIS 09;2009-05-27;09:00:45;Fortaleza;Feminino;14
AIS 03;2009-05-27;15:25:24;Fortaleza;Feminino;8
AIS 11;2009-05-28;11:00:00;Caucaia;Feminino;14
AIS 12;2009-05-28;14:00:15;Maracanaú;Feminino;1
AIS 09;2009-05-28;14:18:54;Fortaleza;Feminino;13
AIS 14;2009-05-29;16:00:42;Sobral;Feminino;13
AIS 07;2009-05-30;18:00:39;Fortaleza;Feminino;14
AIS 01;2009-06-01;10:24:44;Fortaleza;Feminino;13
AIS 11;2009-06-01;19:00:00;Caucaia;Feminino;15
AIS 05;2009-06-03;14:30:55;Fortaleza;Feminino;15
AIS 13;2009-06-04;00:00:00;Cascavel;Feminino;5
AIS 05;2009-06-04;08:00:00;Fortaleza;Feminino;13
AIS 16;2009-06-04;21:30:00;Monsenhor Tabosa;Feminino;13
AIS 09;2009-06-05;14:00:39;Fortaleza;Feminino;14
AIS 17;2009-06-06;17:00:00;Amontada;Feminino;17
AIS 14;2009-06-06;23:00:31;Sobral;Feminino;6
AIS 07;2009-06-09;11:12:29;Fortaleza;Feminino;12
AIS 11;2009-06-09;14:29:37;Caucaia;Feminino;13
AIS 02;2009-06-10;17:49:21;Fortaleza;Feminino;12
AIS 14;2009-06-11;01:30:42;Cariré;Feminino;15
AIS 08;2009-06-12;22:00:00;Fortaleza;Feminino;13
AIS 08;2009-06-12;22:00:00;Fortaleza;Feminino;12
AIS 24;2009-06-14;08:30:33;Maranguape;Feminino;10
AIS 05;2009-06-14;15:50:29;Fortaleza;Feminino;16
AIS 25;2009-06-14;20:00:24;Horizonte;Feminino;11
AIS 12;2009-06-15;14:00:00;Maracanaú;Feminino;11
AIS 18;2009-06-15;14:24:13;Aracati;Feminino;11
AIS 24;2009-06-15;15:30:00;Maranguape;Feminino;17
AIS 03;2009-06-16;07:15:00;Fortaleza;Feminino;6
AIS 09;2009-06-16;12:43:46;Fortaleza;Feminino;2
AIS 02;2009-06-16;14:00:17;Fortaleza;Feminino;13
AIS 08;2009-06-16;18:00:00;Fortaleza;Feminino;13
AIS 08;2009-06-16;18:00:00;Fortaleza;Feminino;12
AIS 12;2009-06-17;06:00:00;Maracanaú;Feminino;13
AIS 12;2009-06-17;09:00:00;Maracanaú;Feminino;13
AIS 06;2009-06-17;10:00:00;Fortaleza;Feminino;2
AIS 24;2009-06-17;18:00:02;Guaiúba;Feminino;16
AIS 15;2009-06-18;13:00:00;Ocara;Masculino;4
AIS 11;2009-06-18;17:09:21;Caucaia;Feminino;15
AIS 06;2009-06-18;18:00:10;Fortaleza;Feminino;16
AIS 04;2009-06-20;09:00:59;Fortaleza;Feminino;12
AIS 13;2009-06-20;10:30:54;Eusébio;Feminino;12
AIS 14;2009-06-20;17:30:00;Meruoca;Feminino;6
AIS 11;2009-06-21;15:00:00;Caucaia;Feminino;13
AIS 01;2009-06-22;13:09:58;Fortaleza;Feminino;13
AIS 15;2009-06-23;12:00:37;Itatira;Feminino;13
AIS 09;2009-06-24;11:01:18;Fortaleza;Feminino;13
AIS 05;2009-06-24;11:42:11;Fortaleza;Feminino;8
AIS 14;2009-06-24;17:02:05;Sobral;Feminino;13
AIS 05;2009-06-25;08:00:00;Fortaleza;Feminino;10
AIS 12;2009-06-25;10:00:32;Maracanaú;Feminino;12
AIS 12;2009-06-27;11:00:00;Maracanaú;Feminino;5
AIS 25;2009-06-28;01:00:38;Itaitinga;Feminino;14
AIS 02;2009-06-28;09:06:54;Fortaleza;Feminino;16
AIS 02;2009-06-28;09:06:54;Fortaleza;Feminino;13
AIS 07;2009-06-28;13:29:51;Fortaleza;Feminino;12
AIS 11;2009-07-02;12:00:00;Caucaia;Feminino;4
AIS 03;2009-07-02;14:12:09;Fortaleza;Masculino;13
AIS 13;2009-07-02;15:28:05;Aquiraz;Feminino;13
AIS 06;2009-07-05;13:00:36;Fortaleza;Feminino;11
AIS 14;2009-07-08;08:00:20;Sobral;Feminino;6
AIS 02;2009-07-11;20:30:00;Fortaleza;Feminino;15
AIS 15;2009-07-13;11:00:49;Caridade;Feminino;12
AIS 09;2009-07-16;10:00:00;Fortaleza;Feminino;9
AIS 06;2009-07-17;10:00:00;Fortaleza;Feminino;14
AIS 19;2009-07-17;20:39:16;Salitre;Feminino;12
AIS 14;2009-07-23;10:27:08;Sobral;Feminino;4
AIS 12;2009-07-23;19:30:04;Maracanaú;Feminino;16
AIS 17;2009-07-25;15:00:20;Amontada;Feminino;2
AIS 15;2009-07-26;17:06:08;Caridade;Feminino;14
AIS 03;2009-07-27;13:15:53;Fortaleza;Feminino;14
AIS 11;2009-07-27;14:01:00;Caucaia;Feminino;8
AIS 10;2009-07-27;15:59:35;Fortaleza;Feminino;7
AIS 03;2009-07-28;16:40:04;Fortaleza;Feminino;11
AIS 14;2009-07-29;14:49:02;Moraújo;Feminino;4
AIS 02;2009-08-01;16:00:00;Fortaleza;Feminino;6
AIS 15;2009-08-02;11:30:00;Paramoti;Feminino;13
AIS 14;2009-08-04;09:00:00;Forquilha;Feminino;9
AIS 14;2009-08-04;09:00:00;Forquilha;Feminino;7
AIS 17;2009-08-04;18:00:00;Acaraú;Feminino;12
AIS 13;2009-08-05;01:15:07;Eusébio;Feminino;15
AIS 15;2009-08-05;10:00:05;Pacoti;Feminino;3
AIS 14;2009-08-05;15:00:00;Sobral;Feminino;15
AIS 14;2009-08-07;13:00:26;Sobral;Feminino;13
AIS 14;2009-08-07;13:00:26;Sobral;Feminino;11
AIS 06;2009-08-07;16:38:52;Fortaleza;Feminino;15
AIS 13;2009-08-08;08:00:57;Eusébio;Feminino;10
AIS 15;2009-08-08;09:36:12;Baturité;Feminino;8
AIS 19;2009-08-09;10:00:50;Juazeiro do Norte;Feminino;10
AIS 08;2009-08-10;10:15:46;Fortaleza;Feminino;17
AIS 24;2009-08-10;14:22:50;Maranguape;Feminino;13
AIS 19;2009-08-10;16:00:10;Crato;Feminino;15
AIS 19;2009-08-10;16:00:10;Crato;Feminino;14
AIS 25;2009-08-10;19:30:49;Horizonte;Feminino;13
AIS 13;2009-08-12;13:00:00;Eusébio;Masculino;6
AIS 20;2009-08-12;21:37:07;Morada Nova;Feminino;13
AIS 03;2009-08-13;08:09:41;Fortaleza;Feminino;13
AIS 08;2009-08-14;18:39:07;Fortaleza;Masculino;8
AIS 07;2009-08-15;02:00:41;Fortaleza;Feminino;10
AIS 14;2009-08-15;16:00:23;Sobral;Feminino;13
AIS 19;2009-08-16;12:30:00;Juazeiro do Norte;Feminino;6
AIS 13;2009-08-17;16:30:00;Eusébio;Masculino;15
AIS 11;2009-08-18;02:00:35;Caucaia;Feminino;15
AIS 11;2009-08-18;09:00:00;Caucaia;Feminino;2
AIS 06;2009-08-18;14:00:00;Fortaleza;Feminino;12
AIS 12;2009-08-19;17:30:51;Maracanaú;Feminino;11
AIS 14;2009-08-20;12:26:27;Granja;Feminino;11
AIS 06;2009-08-20;17:30:00;Fortaleza;Feminino;12
AIS 14;2009-08-21;21:30:01;Sobral;Feminino;13
AIS 13;2009-08-22;00:23:44;Eusébio;Feminino;8
AIS 21;2009-08-22;01:00:41;Iguatu;Feminino;13
AIS 13;2009-08-23;15:30:25;Eusébio;Feminino;6
AIS 03;2009-08-23;17:00:47;Fortaleza;Feminino;5
AIS 13;2009-08-23;23:00:00;Eusébio;Feminino;12
AIS 05;2009-08-24;17:00:00;Fortaleza;Feminino;11
AIS 01;2009-08-24;21:00:00;Fortaleza;Feminino;7
AIS 14;2009-08-25;09:00:15;Groaíras;Feminino;12
AIS 12;2009-08-25;10:00:25;Maracanaú;Feminino;13
AIS 08;2009-08-25;20:00:07;Fortaleza;Feminino;11
AIS 08;2009-08-25;20:00:07;Fortaleza;Feminino;11
AIS 05;2009-08-26;12:10:29;Fortaleza;Feminino;17
AIS 19;2009-08-26;16:03:00;Juazeiro do Norte;Masculino;7
AIS 03;2009-08-26;16:54:02;Fortaleza;Feminino;9
AIS 09;2009-08-27;21:00:00;Fortaleza;Feminino;3
AIS 11;2009-08-28;20:00:00;Caucaia;Feminino;12
AIS 11;2009-08-29;14:55:00;Caucaia;Feminino;12
AIS 12;2009-08-29;16:30:00;Maracanaú;Feminino;12
AIS 12;2009-08-29;16:30:00;Maracanaú;Feminino;6
AIS 11;2009-08-30;10:54:18;Caucaia;Feminino;7
AIS 15;2009-08-30;21:30:20;Canindé;Masculino;15
AIS 03;2009-08-31;12:53:33;Fortaleza;Masculino;4
AIS 05;2009-08-31;14:31:41;Fortaleza;Feminino;16
AIS 05;2009-09-01;15:13:49;Fortaleza;Feminino;15
AIS 17;2009-09-01;15:30:03;Itarema;Feminino;17
AIS 10;2009-09-01;16:30:00;Fortaleza;Feminino;8
AIS 14;2009-09-01;17:12:30;Cariré;Feminino;10
AIS 14;2009-09-01;17:12:30;Cariré;Feminino;9
AIS 19;2009-09-02;01:00:17;Crato;Feminino;13
AIS 19;2009-09-02;01:00:17;Crato;Feminino;13
AIS 25;2009-09-02;08:00:00;Horizonte;Feminino;13
AIS 21;2009-09-02;14:10:30;Ipaumirim;Feminino;14
AIS 11;2009-09-03;08:00:19;Caucaia;Feminino;13
AIS 05;2009-09-03;08:13:12;Fortaleza;Feminino;13
AIS 14;2009-09-04;09:53:06;Groaíras;Feminino;12
AIS 12;2009-09-04;14:30:28;Maracanaú;Feminino;9
